appid,name,developer,publisher,genres,price,positive_ratings,negative_ratings,platforms,release_date
730,Counter-Strike 2,Valve,Valve,"Action, Free-to-play",0.0,20951,11010,windows;linux,21 aout 2012
578080,PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.","Action, Aventure, Massivement multijoueur, Free-to-play",0.0,101035,9189,windows,21 déc. 2017
570,Dota 2,Valve,Valve,"Action, Stratégie, Free-to-play",0.0,78705,16915,windows;mac;linux,9 juil. 2013
431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,"Occasionnel, Indépendant, Animation & Modélisation, Conception & Illustration, Retouche photo, Utilitaires",4.99,107688,10756,windows,16 nov. 2018
1172470,Apex Legends™,Respawn,Electronic Arts,"Action, Aventure, Free-to-play",0.0,25090,1151,windows,4 nov. 2020
2868840,Slay the Spire 2,Mega Crit,Mega Crit,"Indépendant, Stratégie, Accès anticipé",22.99,121235,12661,windows;mac;linux,5 mars 2026
3241660,R.E.P.O.,semiwork,semiwork,"Action, Accès anticipé",6.64,67727,6151,windows,26 févr. 2025
271590,Grand Theft Auto V Version originale,Rockstar North,Rockstar Games,"Action, Aventure",0.0,78242,5876,windows,13 avr. 2015
322170,Geometry Dash,RobTop Games,RobTop Games,"Action, Indépendant",4.99,121256,3684,windows;mac,22 déc. 2014
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,"Action, Massivement multijoueur, Simulation, Free-to-play",0.0,90508,14126,windows;mac;linux,15 aout 2013
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,"Action, Free-to-play",0.0,75372,14104,windows,1 déc. 2015
1808500,ARC Raiders,Embark Studios,Embark Studios,Action,39.99,18361,18862,windows,30 oct. 2025
2507950,Delta Force,Team Jade,TiMi Studio Group,"Action, Aventure, Massivement multijoueur, Free-to-play",0.0,66671,15341,windows,4 déc. 2024
2357570,Overwatch®,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","Action, Free-to-play",0.0,97160,15274,windows,10 aout 2023
2767030,Marvel Rivals,NetEase Games,NetEase Games,"Action, Free-to-play",0.0,16576,19745,windows,5 déc. 2024
252490,Rust,Facepunch Studios,Facepunch Studios,"Action, Aventure, Indépendant, Massivement multijoueur, RPG",19.99,55613,18789,windows;mac,8 févr. 2018
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,7.99,123124,8673,windows,14 juin 2016
1422450,Deadlock,Valve,Valve,Action,0.0,107955,9438,windows,À déterminer
230410,Warframe,Digital Extremes,Digital Extremes,"Action, RPG, Free-to-play",0.0,46465,15519,windows,25 mars 2013
3405690,EA SPORTS FC™ 26,"EA Canada, EA Romania",Electronic Arts,"Simulation, Sport",13.99,37630,6184,windows,25 sept. 2025
413150,Stardew Valley,ConcernedApe,ConcernedApe,"Indépendant, RPG, Simulation",13.99,96751,18834,windows;mac;linux,26 févr. 2016
2807960,Battlefield™ 6,Battlefield Studios,Electronic Arts,Action,34.99,9812,12933,windows,10 oct. 2025
553850,HELLDIVERS™ 2,Arrowhead Game Studios,PlayStation Publishing LLC,Action,39.99,94872,13907,windows,8 févr. 2024
1973530,Limbus Company,ProjectMoon,ProjectMoon,Indéterminé,0.0,88478,2674,windows,26 févr. 2023
3240220,Grand Theft Auto V Version améliorée,Rockstar North,Rockstar Games,"Action, Aventure, Course automobile",29.99,45138,5511,windows,4 mars 2025
105600,Terraria,Re-Logic,Re-Logic,"Action, Aventure, Indépendant, RPG",9.75,133351,10249,windows;mac;linux,16 mai 2011
440,Team Fortress 2,Valve,Valve,"Action, Free-to-play",0.0,46797,8881,windows;linux,10 oct. 2007
3321460,Crimson Desert,Pearl Abyss,Pearl Abyss,"Action, Aventure",69.99,149969,15926,windows;mac,19 mars 2026
3041230,Windrose,Kraken Express,"Kraken Express, Pocketpair Publishing (Japan)","Action, Aventure, RPG, Accès anticipé",29.99,77040,17406,windows,14 avr. 2026
227300,Euro Truck Simulator 2,SCS Software,SCS Software,"Indépendant, Simulation",19.99,113862,1069,windows;mac;linux,12 oct. 2012
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,"Aventure, RPG, Stratégie",59.99,28970,647,windows;mac,3 aout 2023
